summoner_name,played_with,won_with,played_against,lost_against,date,last_played
TheMuffinTurtle,0.0,0,1,0,9-2-2024 11:21,Azir
TOHEEB PTITPD,0.0,0,1,1,5-2-2024 13:34,Senna
TBT Supp,0.0,0,1,1,5-2-2024 13:35,Tristana
T1 R Ð,0.0,0,1,0,9-2-2024 11:21,Zed
SrDmencia,0.0,0,1,0,5-2-2024 13:35,Blitzcrank
SouT ST,0.0,0,1,0,9-2-2024 11:21,Malzahar
SilcoVonBismarck,0.0,0,1,0,9-2-2024 11:21,Darius
Seductive Píckle,0.0,0,1,1,5-2-2024 13:34,Soraka
SMASH Bubi,0.0,0,1,0,9-2-2024 11:21,Senna
SHAO LlNG,0.0,0,1,1,5-2-2024 13:36,Ekko
Rob Whittaker,0.0,0,1,0,9-2-2024 11:21,Vi
Rinnegankai,0.0,0,1,1,5-2-2024 13:34,Neeko
Retsube,0.0,0,1,1,5-2-2024 13:35,Lillia
Pydrez,0.0,0,1,0,5-2-2024 13:35,Briar
Orosss,0.0,0,1,1,5-2-2024 13:35,Briar
OlabananaJR,0.0,0,1,1,5-2-2024 13:34,Jhin
NopeitsDope,0.0,0,1,1,5-2-2024 13:35,Nunu
Njot,0.0,0,1,1,5-2-2024 13:35,Nidalee
NightSoulOvO,0.0,0,1,1,5-2-2024 13:35,Janna
Nalluka,0.0,0,1,0,5-2-2024 13:35,Varus
Mugiwaraboshi,0.0,0,1,1,5-2-2024 13:35,Irelia
Minameid,0.0,0,1,0,5-2-2024 13:35,Thresh
Melyndix,0.0,0,1,0,5-2-2024 13:36,Lillia
Master Fonty,0.0,0,1,0,9-2-2024 11:21,Twitch
M I K K E R,0.0,0,1,1,5-2-2024 13:35,Teemo
Lorrcayo,0.0,0,1,1,5-2-2024 13:35,Samira
Lorcayo,0.0,0,1,1,5-2-2024 13:35,Lulu
Loadem,0.0,0,1,1,5-2-2024 13:35,Braum
Linoxeros,0.0,0,1,1,5-2-2024 13:35,KSante
Lil zgegos,0.0,0,1,1,5-2-2024 13:35,Shyvana
Lil Nose,0.0,0,1,1,5-2-2024 13:35,Jinx
LaHaine89,0.0,0,1,0,5-2-2024 13:35,Chogath
Køgami,0.0,0,1,1,5-2-2024 13:34,Pantheon
KawaiiBiscuit,0.0,0,1,1,5-2-2024 13:35,Brand
KataMAIIN,0.0,0,1,1,5-2-2024 13:34,Fiddlesticks
Kaseria,0.0,0,1,0,9-2-2024 11:21,Velkoz
Kaps,0.0,0,1,0,5-2-2024 13:35,Thresh
Kalgorth,0.0,0,1,1,5-2-2024 13:35,Aatrox
K4yser,0.0,0,1,1,5-2-2024 13:34,Teemo
JMthecraycray,0.0,0,1,1,5-2-2024 13:35,LeeSin
Immaculate One,0.0,0,1,1,5-2-2024 13:35,Tristana
IT TheGolden992,0.0,0,1,0,5-2-2024 13:35,Shen
I am Prophet,0.0,0,1,1,5-2-2024 13:35,Nautilus
His Lover,0.0,0,1,0,9-2-2024 11:21,Sett
Hipicomori,0.0,0,1,0,5-2-2024 13:36,Nautilus
HighDmt,0.0,0,1,0,5-2-2024 13:35,MissFortune
Harambe Exotic,0.0,0,1,1,5-2-2024 13:35,Briar
HA2R8,0.0,0,1,1,5-2-2024 13:35,Zoe
Gremxo,0.0,0,1,0,9-2-2024 11:21,Poppy
Grauer,0.0,0,1,0,5-2-2024 13:35,DrMundo
Glorious Malco,0.0,0,1,0,9-2-2024 11:21,Yorick
GetRekton,0.0,0,1,1,5-2-2024 13:35,Shaco
GO VEGAN ANTIFA,0.0,0,1,1,5-2-2024 13:34,Tryndamere
FΩRM,0.0,0,1,1,5-2-2024 13:35,DrMundo
Furlyz0,0.0,0,1,1,5-2-2024 13:35,Ahri
FreeTheT0P G,0.0,0,1,1,5-2-2024 13:36,Zilean
FrauBergmann,0.0,0,1,0,5-2-2024 13:35,Bard
FingerMyToast,0.0,0,1,1,5-2-2024 13:35,Singed
Fiasa,0.0,0,1,0,5-2-2024 13:35,Velkoz
Enabsonnan,0.0,0,1,1,5-2-2024 13:35,Sett
EFB Omega,0.0,0,1,0,5-2-2024 13:35,Akali
Dædshœt,0.0,0,1,1,5-2-2024 13:34,Teemo
Dream of girls,0.0,0,1,1,5-2-2024 13:35,XinZhao
Dr OctoPuzy,0.0,0,1,0,5-2-2024 13:35,Gragas
DikembeMutomb0,0.0,0,1,1,5-2-2024 13:34,Jinx
DadComeHome,0.0,0,1,1,5-2-2024 13:36,MissFortune
CrauCrau,0.0,0,1,1,5-2-2024 13:35,Elise
Cpawam,0.0,0,1,0,5-2-2024 13:36,Brand
CESTO,0.0,0,1,1,5-2-2024 13:34,Gragas
Bundinator10,0.0,0,1,0,5-2-2024 13:35,Galio
Boatz and Hoes,0.0,0,1,1,5-2-2024 13:36,Yasuo
BigBill1482,0.0,0,1,1,5-2-2024 13:34,Ivern
BatttleBun,0.0,0,1,0,9-2-2024 11:21,Diana
AmzYYang,0.0,0,1,0,5-2-2024 13:35,Pyke
Ale4224,0.0,0,1,1,5-2-2024 13:35,Nami
Alax,0.0,0,1,0,9-2-2024 11:21,Nocturne
AStr4,0.0,0,1,1,5-2-2024 13:35,Syndra
AMENO Jeannette,0.0,0,1,0,5-2-2024 13:35,Twitch
ABbcaqFmx6,0.0,0,1,0,9-2-2024 11:21,Malphite
112shaboing,0.0,0,1,0,9-2-2024 11:21,Khazix
10k Shawty,0.0,0,1,1,5-2-2024 13:35,Nidalee
