summoner_name,played_with,won_with,played_against,lost_against,date,last_played
yowan1337,1.0,1,0,0,16-6-2023 10:52,Taliyah
youngwithcat,1.0,1,0,0,1-7-2022 18:16,Samira
yonmaru,1.0,1,0,0,8-6-2022 10:19,Janna
yongying0202,1.0,1,0,0,1-7-2022 18:15,Mordekaiser
ymlsodhk,1.0,1,0,0,2-7-2023 15:18,Varus
yipi yapo3,1.0,1,0,0,5-3-2023 12:31,Fiddlesticks
yazęed,1.0,1,0,0,26-2-2023 12:16,Velkoz
yannickjeuh,1.0,1,0,0,24-10-2022 12:37,Nasus
xarieli,1.0,1,0,0,10-12-2022 20:52,Veigar
xannx,1.0,1,0,0,8-7-2023 10:56,Fiora
xXraigenbougenXx,1.0,1,0,0,30-1-2023 16:18,Teemo
xXmarcmpXx,1.0,1,0,0,26-5-2023 17:51,TwistedFate
xXHuntingKillsXx,1.0,1,0,0,1-8-2022 20:42,Viktor
xXBlossomYoneXx,1.0,1,0,0,18-10-2023 23:20,Fiddlesticks
xSalvii,1.0,1,0,0,8-10-2022 16:38,Graves
xRaviity,1.0,1,0,0,9-6-2023 20:29,Ezreal
xPuTTYx,1.0,1,0,0,8-6-2022 10:19,Renata
xFSN Virusss,1.0,1,0,0,26-5-2022 17:11,Kalista
xCyk,1.0,1,0,0,5-9-2023 21:10,Vayne
xCuresx,1.0,1,0,0,24-1-2023 15:29,Zyra
xAoki,1.0,1,0,0,9-9-2022 10:4,Karma
xAddictedd,1.0,1,0,0,27-11-2022 18:26,Ryze
wowsuck,1.0,1,0,0,11-10-2023 18:30,Milio
womeishiwoliuda,1.0,1,0,0,6-6-2022 15:43,Swain
wkdFoxx,1.0,1,0,0,15-6-2022 15:43,Lillia
whispęr,1.0,1,0,0,5-9-2023 21:10,Velkoz
weitweeg,1.0,1,0,0,4-1-2023 11:5,Cassiopeia
waterbottlex9,1.0,1,0,0,30-7-2022 12:42,Aatrox
water shen,1.0,1,0,0,8-10-2022 16:38,Sion
wadbot v2,1.0,1,0,0,25-11-2023 14:53,MissFortune
wOiStErIk,1.0,1,0,0,24-9-2022 23:1,Pyke
victiro 5,1.0,1,0,0,7-12-2022 10:21,AurelionSol
valibom,1.0,1,0,0,28-6-2023 21:27,Diana
vM Maiven,1.0,1,0,0,11-9-2022 15:26,MasterYi
v9Leitzy,1.0,1,0,0,22-10-2022 19:22,Sivir
unseen bIade,1.0,1,0,0,16-6-2023 10:26,Ashe
una plata loca,1.0,1,0,0,4-1-2023 11:4,Fiora
umvn,1.0,1,0,0,15-5-2023 22:9,Qiyana
troll du bidet,1.0,1,0,0,8-6-2022 10:19,Zed
totemeizer,1.0,1,0,0,26-12-2022 14:28,Tristana
torse1,1.0,1,0,0,12-3-2023 14:26,Sylas
tiiigzeste18,1.0,1,0,0,22-11-2023 9:28,Twitch
thomasandal,1.0,1,0,0,8-8-2022 22:1,Rengar
thilowars,1.0,1,0,0,15-5-2023 22:9,Riven
themenwars2,1.0,1,0,0,25-3-2023 16:21,Leona
thekingofgomme,1.0,1,0,0,24-9-2022 23:1,MissFortune
thekillermufin8,1.0,1,0,0,5-9-2023 21:10,Vayne
thegreatcoat,1.0,1,0,0,28-6-2023 21:28,Jayce
theGarci,1.0,1,0,0,15-6-2022 15:42,Fizz
the unlucky mate,1.0,1,0,0,26-5-2022 17:30,Chogath
tempvhirqhrqsyrs,1.0,1,0,0,16-6-2023 10:52,Tryndamere
teamKR Zed ,1.0,1,0,0,11-1-2023 20:35,Jinx
tbon for dinner,1.0,1,0,0,28-2-2023 20:53,Vladimir
tatagrs,1.0,1,0,0,27-4-2023 13:9,MissFortune
tareq2001pro,1.0,1,0,0,12-3-2023 14:28,Sejuani
taecuc,1.0,1,1,0,2-7-2023 15:18,Sona
tacotane,1.0,1,0,0,19-3-2023 13:11,Evelynn
superfatgoldfish,1.0,1,0,0,3-8-2022 14:48,Riven
superante,1.0,1,0,0,5-9-2023 21:12,Kassadin
straubalexander,1.0,1,0,0,29-5-2022 12:46,Tryndamere
stommo,1.0,1,0,0,9-9-2022 10:4,Malzahar
stevoxc,1.0,1,0,0,26-5-2022 17:10,Yuumi
std logic vector,1.0,1,0,0,29-5-2022 12:46,Vi
stay mad kiddos,1.0,1,0,0,4-8-2022 19:46,Syndra
spıt,1.0,1,0,0,8-7-2023 10:56,Leblanc
spook0307,1.0,1,0,0,5-3-2023 12:32,Veigar
slikkepinne,1.0,1,0,0,16-9-2023 10:23,Zoe
sleepy Trowlet,1.0,1,0,0,16-8-2022 11:52,Fiora
skullsoul,1.0,1,0,0,8-6-2022 10:19,Anivia
signlog3,1.0,1,0,0,7-12-2022 10:21,Morgana
shikuroslg,1.0,1,0,0,19-3-2023 13:11,Irelia
shed,1.0,1,0,0,10-12-2022 20:52,Syndra
sharkiouse92,1.0,1,0,0,22-10-2022 19:21,Zyra
seeyjanerds,1.0,1,0,0,16-9-2022 10:5,Ryze
scorpioonKing,1.0,1,0,0,29-4-2023 17:34,Pantheon
scorac,1.0,1,0,0,14-2-2023 19:59,Blitzcrank
scooby48,1.0,1,0,0,28-2-2023 20:53,Seraphine
schattenninjax,1.0,1,0,0,24-6-2023 14:59,Singed
sadfem,1.0,1,0,0,11-10-2023 18:31,Karthus
rinkson21,1.0,1,0,0,21-7-2022 21:48,Rumble
ricktus,1.0,1,0,0,27-11-2022 18:26,Malzahar
retiredpot,1.0,1,0,0,27-4-2023 13:10,Soraka
reißen Snow,1.0,1,0,0,6-10-2022 8:10,Pantheon
raverat,1.0,1,0,0,9-5-2023 17:6,Yone
raven  wins,1.0,1,0,0,26-5-2022 17:50,Rengar
ragnarspear,1.0,1,0,0,16-6-2023 10:27,Syndra
qwasy,1.0,1,0,0,27-4-2023 13:9,AurelionSol
quentinwort,1.0,1,0,0,28-2-2023 20:53,Irelia
quack mentality,1.0,1,0,0,27-11-2022 18:26,Annie
qqlove8,1.0,1,0,0,14-2-2023 19:58,Fiora
pyro2443,1.0,1,0,0,19-3-2023 13:11,Rammus
puckodricka,1.0,1,0,0,28-2-2023 20:53,Chogath
psycho puppy,1.0,1,0,0,16-6-2023 10:27,Nilah
psaking,1.0,1,0,0,4-8-2022 19:45,Velkoz
proutosore44,1.0,1,0,0,2-7-2023 15:18,Malphite
prayless,1.0,1,0,0,15-6-2022 15:43,Yuumi
powerSπke,1.0,1,0,0,11-10-2023 18:31,Akshan
poterpeter,1.0,1,2,2,30-7-2022 12:41,Jinx
pls not ban pyke,1.0,1,0,0,1-10-2022 21:47,Nami
pitolino,1.0,1,0,0,9-9-2022 10:4,Zilean
perroflautta,1.0,1,0,0,11-10-2023 18:28,Taliyah
pepito3000,1.0,1,0,0,19-3-2023 13:12,Ashe
partouzeurdu81,1.0,1,0,0,6-9-2022 10:26,Kaisa
papejan,1.0,1,0,0,7-9-2022 11:33,Graves
pandrew pate,1.0,1,0,0,7-2-2023 11:25,Thresh
pandaram,1.0,1,0,0,19-7-2023 19:28,AurelionSol
oystericetea,1.0,1,0,0,1-7-2022 17:17,Lux
onkelkonkel,1.0,1,0,0,30-1-2023 17:12,Khazix
ombrage36,1.0,1,0,0,25-4-2023 12:6,Brand
ohmelordy,1.0,1,0,0,26-5-2022 17:10,Vayne
obliterate,1.0,1,0,0,24-7-2022 17:6,Sejuani
oDanny,1.0,1,0,0,25-4-2023 12:6,Nocturne
nutalla,1.0,1,0,0,19-7-2023 19:28,Samira
nuro66,1.0,1,0,0,14-11-2022 21:0,Skarner
nissetype42,1.0,1,0,0,30-4-2023 20:18,Heimerdinger
niquelapolice93,1.0,1,0,0,28-9-2022 20:7,Shaco
nikorona,1.0,1,0,0,9-9-2022 10:4,Azir
nihgtslayer,1.0,1,0,0,30-1-2023 17:12,Vladimir
mupfie,1.0,1,0,0,2-7-2023 15:18,Taliyah
mukino,1.0,1,0,0,27-11-2022 18:26,Anivia
mr fantastik,1.0,1,0,0,2-2-2023 11:47,Jhin
mortdelol,1.0,1,0,0,25-5-2023 20:53,Morgana
miniman77,1.0,1,0,0,25-2-2023 12:34,Qiyana
minapolilla,1.0,1,0,0,16-6-2023 10:28,Viego
miam des caillou,1.0,1,0,0,18-12-2022 15:8,Samira
mecer0093,1.0,1,0,0,15-5-2023 22:9,Shaco
meat84,1.0,1,0,0,22-10-2022 19:21,LeeSin
mdfirefox,1.0,1,0,0,24-9-2022 23:1,DrMundo
manoftardis,1.0,1,0,0,26-2-2023 12:16,Veigar
malcano,1.0,1,0,0,20-6-2023 13:10,Veigar
makatedreal,1.0,1,0,0,8-11-2022 19:43,JarvanIV
machochick,1.0,1,0,0,6-9-2022 22:2,Lux
machinedusixquat,1.0,1,0,0,1-8-2022 20:42,Lulu
lzlz2020,1.0,1,0,0,6-9-2022 10:26,Syndra
lukielue,1.0,1,0,0,11-1-2023 20:35,Kaisa
luckecool,1.0,1,0,0,15-5-2023 22:8,Kennen
lquent,1.0,1,0,0,15-5-2023 22:8,Pyke
lord jaypet,1.0,1,0,0,25-4-2023 12:6,Xerath
loniaCalls,1.0,1,0,0,9-5-2023 17:5,Anivia
lixione,1.0,1,0,0,26-5-2022 17:11,Jhin
littlewoodsman,1.0,1,0,0,11-7-2022 18:3,Renata
liszkcg,1.0,1,0,0,26-5-2022 17:10,Ekko
lileoly,1.0,1,0,0,7-12-2022 10:21,Ezreal
leviathannN,1.0,1,0,0,27-11-2022 18:26,Seraphine
leprotto,1.0,1,0,0,1-8-2022 20:42,Graves
legacylol,1.0,1,0,0,7-9-2022 11:59,Rumble
lanza jayjay,1.0,1,0,0,24-7-2022 17:6,Diana
laguig,1.0,1,0,0,26-5-2023 17:51,Vayne
laeleele,1.0,1,0,0,14-7-2023 22:8,Graves
lVloonlight,1.0,1,0,0,25-5-2023 20:53,Zed
lIlIlILAFIlIlIl,1.0,1,0,0,5-9-2023 21:10,Khazix
lI HideOnTop Il,1.0,1,0,0,4-1-2023 11:5,Aatrox
l MÀD DévíŁ l,1.0,1,0,0,9-5-2023 17:6,Qiyana
kuutamofff,1.0,1,0,0,25-11-2023 14:53,Kayle
kr0nverk,1.0,1,0,0,19-5-2023 22:29,Vi
komapt,1.0,1,0,0,25-4-2023 12:6,Veigar
kimiwahikari,1.0,1,0,0,19-7-2023 19:27,Blitzcrank
kim jong ùn,1.0,1,0,0,16-6-2023 10:28,Jax
kill4rt,1.0,1,0,0,21-7-2022 21:49,Xayah
