summoner_name,played_with,won_with,played_against,lost_against,last_played,date
BraveTitGantz,1.0,1,0,0,Mordekaiser,23-8-2022 16:46
BradiLopes,1.0,1,0,0,Teemo,24-7-2022 18:6
Boosteros,1.0,1,0,0,Ezreal,7-8-2022 12:42
Boofus,1.0,1,0,0,Teemo,7-8-2022 12:42
Bojunga,1.0,1,0,0,Rengar,0
BlazingThunder,1.0,1,0,0,Ekko,11-8-2022 20:4
BlackSpaghetti64,1.0,1,0,0,Yone,23-8-2022 16:46
Black Technology,1.0,1,0,0,Yuumi,19-7-2022 11:49
Bishamon95,1.0,1,0,0,MissFortune,1-8-2022 20:41
BestF64,1.0,1,0,0,Kayle,9-8-2022 11:26
Bastablaider,1.0,1,0,0,Talon,0
Barlet Julien,1.0,1,0,0,Sylas,11-8-2022 20:4
BaoLaN IG,1.0,1,0,0,Lux,0
BOTquelloscarso,1.0,1,0,0,Aatrox,9-9-2022 10:5
B4GG1,1.0,1,0,0,Jhin,8-8-2022 21:40
Astraglae,1.0,1,0,0,Rammus,8-8-2022 21:40
Appache,1.0,1,0,0,Belveth,11-8-2022 22:0
Ak118,1.0,1,0,0,Kindred,9-8-2022 22:21
AhriToeWatcher,1.0,1,0,0,Ahri,19-7-2022 11:49
ASKENPUTTEN,1.0,1,0,0,Viktor,6-9-2022 10:26
0versc0,1.0,1,0,0,Akshan,3-8-2022 14:48
 Thurnire,1.0,1,0,0,Caitlyn,16-8-2022 10:31
 The    Sus,1.0,1,0,0,Nasus,16-8-2022 10:31
Ωuroborοs,1.0,0,0,0,Sivir,6-9-2022 10:26
Ðìablø,1.0,0,0,0,Senna,23-8-2022 16:46
zeze the bad,1.0,0,0,0,Azir,14-8-2022 14:53
zePuncake,1.0,0,0,0,Shaco,0
xispa7800,1.0,0,0,0,Sion,0
xenophasa,1.0,0,0,0,Viego,0
xXJuicePaketXx,1.0,0,0,0,Teemo,4-8-2022 19:46
xAsheraa,1.0,0,0,0,Qiyana,9-8-2022 10:51
x Fjappe ÅGE x,1.0,0,0,0,Udyr,7-8-2022 12:4
wattsy28,1.0,0,0,0,Renata,8-8-2022 21:40
thomasyg206,1.0,0,0,0,Yone,30-7-2022 12:42
tamurao,1.0,0,0,0,Lulu,0
stargatemw2,1.0,0,0,0,Katarina,0
spyke03,1.0,0,0,0,Pyke,14-8-2022 14:53
softkill199,1.0,0,0,0,MonkeyKing,24-9-2022 23:1
seanser,1.0,0,0,0,Qiyana,0
peperoninniples,1.0,0,0,0,Rengar,1-8-2022 20:42
oSSantooS,1.0,0,0,0,Shaco,9-8-2022 22:21
mr j0hnny v2,1.0,0,0,0,Yone,0
matgeeken,1.0,0,0,0,Aatrox,19-7-2022 11:48
livingnut,1.0,0,0,0,Maokai,0
larsbanan,1.0,0,0,0,Lux,10-8-2022 13:23
kuffkiff,1.0,0,0,0,MissFortune,1-8-2022 20:42
kekwsad,1.0,0,0,0,Kaisa,14-8-2022 14:31
jonyattack,1.0,0,0,0,Zyra,19-7-2022 11:49
iWhiskey,1.0,0,0,0,Fizz,0
iNana11,1.0,0,0,0,Kayle,11-8-2022 20:4
iDieFirst,1.0,0,0,0,Nocturne,4-8-2022 19:46
halal butter,1.0,0,0,0,Camille,0
gonxez,1.0,0,0,0,Kaisa,0
goliator66,1.0,0,0,0,MonkeyKing,0
gamerORC,1.0,0,0,0,Gwen,0
erdbeerentusiast,1.0,0,0,0,Irelia,0
eXo Nam,1.0,0,0,0,Akali,1-8-2022 20:42
dracoe,1.0,0,0,0,Fizz,16-8-2022 10:31
dchcobra,1.0,0,0,0,Ornn,6-9-2022 10:27
chiclaspt,1.0,0,0,0,Jhin,30-7-2022 12:42
byEnozke,1.0,0,0,0,Syndra,8-8-2022 21:40
batmur,1.0,0,0,0,Veigar,0
annie06,1.0,0,0,0,Gwen,1-8-2022 20:42
aDeM sKi ,1.0,0,0,0,Yone,0
Zetagamer04,1.0,0,0,0,Tryndamere,9-8-2022 22:21
Zeregon05,1.0,0,0,0,Nilah,1-8-2022 20:42
Zelzon,1.0,0,0,0,Samira,0
Zavisime,1.0,0,0,0,Jhin,6-9-2022 10:26
Zabio,1.0,0,0,0,Shen,8-8-2022 21:40
Ywnkcyued,1.0,0,0,0,Jhin,8-8-2022 21:40
Yuumi is my main,1.0,0,0,0,Lulu,1-8-2022 21:4
YouNoobXDXD,1.0,0,0,0,Caitlyn,9-8-2022 10:51
Yonofui,1.0,0,0,0,Urgot,8-8-2022 21:40
Yasuo vs Yonee,1.0,0,0,0,Jhin,6-9-2022 10:26
Yarack Obama,1.0,0,0,0,Orianna,0
XlX,1.0,0,0,0,LeeSin,0
X1CHunterX1C,1.0,0,0,0,Ashe,0
X Shiny Absol X,1.0,0,0,0,Kassadin,8-8-2022 21:40
Wildave,1.0,0,0,0,Samira,14-8-2022 14:53
War Bringeer,1.0,0,0,0,Yone,0
WKLSUrartu,1.0,0,0,0,Neeko,0
Tygonia69,1.0,0,0,0,Yuumi,14-8-2022 14:31
Turcki,1.0,0,0,0,Darius,16-8-2022 10:30
TheFrozenSoulZ,1.0,0,0,0,Ezreal,0
The JelleyFish,1.0,0,0,0,Leblanc,0
TeezyWeezy,1.0,0,0,0,Camille,0
Taric go lait,1.0,0,0,0,Kayn,0
THE BEARCAT 16,1.0,0,0,0,Irelia,8-8-2022 21:40
T1 Gunny,1.0,0,0,0,Irelia,24-9-2022 23:1
T Σ Ł Ζ Λ Δ,1.0,0,0,0,Lillia,30-7-2022 12:42
Sugar Daddy x,1.0,0,0,0,Yasuo,9-8-2022 22:21
Smuel,1.0,0,0,0,Gwen,0
SirMochas,1.0,0,0,0,Katarina,1-8-2022 20:42
