champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,cc_score,winrate
25,Morgana,12.0,5,73,91,361,21098,21874,-775,4,0,0,0,0,5260,65,41
7,Leblanc,5.0,2,62,43,90,24546,25547,-999,7,1,1,0,0,4442,12,40
36,DrMundo,5.0,2,37,57,107,33718,70501,-36782,5,1,0,0,0,15326,19,40
48,Trundle,8.0,3,32,80,224,14444,55340,-40893,2,0,0,0,0,16052,34,37
236,Lucian,11.0,4,125,136,231,30209,30823,-611,18,5,1,0,0,4686,0,36
4,TwistedFate,15.0,5,91,152,382,23212,23758,-544,9,0,0,0,0,2550,67,33
111,Nautilus,6.0,2,28,57,171,15426,42949,-27522,4,0,0,0,0,2601,92,33
18,Tristana,3.0,1,23,28,36,16416,22666,-6249,3,1,0,0,0,2090,3,33
33,Rammus,3.0,1,17,26,69,13357,41503,-28145,1,0,0,0,0,4345,52,33
81,Ezreal,27.0,8,271,219,468,27706,23128,4573,36,9,0,0,0,5150,0,29
22,Ashe,24.0,6,117,221,585,22331,21601,727,9,2,0,0,0,2662,61,25
101,Xerath,8.0,2,89,65,171,30232,23100,7129,9,2,0,0,0,3062,32,25
31,Chogath,8.0,2,82,94,172,24644,67333,-42688,9,0,0,0,0,4476,82,25
103,Ahri,4.0,1,25,46,57,20102,25895,-5792,3,1,0,0,0,4020,24,25
40,Janna,4.0,1,15,35,166,13035,25340,-12304,0,0,0,0,0,19007,103,25
43,Karma,22.0,5,159,179,532,22720,23392,-669,18,0,0,0,0,4761,28,22
115,Ziggs,9.0,2,89,73,211,28362,22899,5462,10,0,0,0,0,3411,25,22
41,Gangplank,9.0,2,78,100,129,26517,30003,-3484,7,0,0,0,0,7825,9,22
201,Braum,5.0,1,21,56,206,19126,51377,-32251,0,0,0,0,0,4289,60,20
21,MissFortune,6.0,1,36,60,118,18301,25261,-6959,2,0,0,0,0,3060,11,16
245,Ekko,6.0,1,60,77,115,26480,38551,-12071,8,2,1,1,0,8733,13,16
897,KSante,6.0,1,17,56,72,8809,32218,-23408,1,0,0,0,0,2404,20,16
96,KogMaw,4.0,0,51,51,93,33895,29735,4159,9,1,0,0,0,3206,13,0
20,Nunu,4.0,0,25,48,102,21293,36122,-14829,3,0,0,0,0,8975,42,0
143,Zyra,3.0,0,36,39,141,74728,38473,36255,3,0,0,0,0,3418,123,0
89,Leona,3.0,0,8,26,55,11068,35254,-24185,0,0,0,0,0,2939,53,0
136,AurelionSol,2.0,0,48,36,53,55202,43706,11496,7,3,1,0,0,1387,39,0
64,LeeSin,2.0,0,29,25,43,34154,37425,-3271,8,0,0,0,0,8464,27,0
80,Pantheon,2.0,0,16,20,14,13095,18288,-5193,2,0,0,0,0,985,18,0
234,Viego,2.0,0,11,19,15,12154,20799,-8645,0,0,0,0,0,3085,18,0
876,Lillia,2.0,0,21,20,32,20847,30915,-10067,3,0,0,0,0,6488,27,0
777,Yone,2.0,0,9,23,33,13943,27036,-13093,1,0,0,0,0,1879,17,0
897,unknown,2.0,0,13,22,44,19470,53209,-33739,2,1,0,0,0,4536,60,0
75,Nasus,2.0,0,11,21,34,17741,55749,-38008,0,0,0,0,0,4337,15,0
74,Heimerdinger,1.0,0,7,13,24,41323,35481,5842,1,0,0,0,0,3166,54,0
126,Jayce,1.0,0,8,19,31,37650,36821,829,0,0,0,0,0,1748,19,0
35,Shaco,1.0,0,2,6,7,11783,13096,-1313,0,0,0,0,0,1567,22,0
104,Graves,1.0,0,4,13,19,25074,26488,-1414,0,0,0,0,0,3999,21,0
60,Elise,1.0,0,3,10,12,15350,20598,-5248,0,0,0,0,0,1490,31,0
121,Khazix,1.0,0,20,15,10,28313,34366,-6053,6,1,0,0,0,2738,3,0
84,Akali,1.0,0,7,12,17,21518,28982,-7464,2,0,0,0,0,3538,0,0
62,MonkeyKing,1.0,0,7,11,17,15926,24338,-8412,0,0,0,0,0,1577,14,0
5,XinZhao,1.0,0,3,9,10,6568,20002,-13434,0,0,0,0,0,1482,12,0
895,Nilah,1.0,0,5,11,4,7322,21901,-14579,0,0,0,0,0,1921,6,0
154,Zac,1.0,0,3,12,10,9147,33609,-24462,0,0,0,0,0,9241,35,0
24,Jax,1.0,0,6,13,15,13429,40166,-26737,0,0,0,0,0,960,26,0
233,Briar,1.0,0,14,18,28,36842,74357,-37515,2,1,0,0,0,46737,60,0
