champion_id,champion_name,champion_level,champion_points,tokens_earned,chest_granted
74,Heimerdinger,4.0,13305,0,no
120,Hecarim,1.0,659,0,no
887,Gwen,1.0,680,0,no
104,Graves,3.0,11045,0,no
79,Gragas,3.0,8647,0,no
86,Garen,3.0,10534,0,no
105,Fizz,2.0,2001,0,no
114,Fiora,2.0,3602,0,no
9,Fiddlesticks,3.0,9982,0,no
81,Ezreal,5.0,26971,0,no
28,Evelynn,2.0,3901,0,no
60,Elise,1.0,1320,0,no
245,Ekko,5.0,33082,0,no
119,Draven,2.0,2228,0,no
131,Diana,4.0,17030,0,no
122,Darius,2.0,5296,0,no
42,Corki,2.0,3075,0,no
31,Chogath,5.0,43369,1,no
69,Cassiopeia,3.0,7075,0,no
164,Camille,4.0,16421,0,no
51,Caitlyn,4.0,21282,0,no
201,Braum,6.0,70647,2,no
63,Brand,4.0,15042,0,no
53,Blitzcrank,7.0,102420,0,no
268,Azir,2.0,3389,0,no
136,AurelionSol,4.0,17699,0,no
22,Ashe,4.0,12893,0,no
1,Annie,3.0,8074,0,no
34,Anivia,3.0,10584,0,no
12,Alistar,5.0,22823,0,no
84,Akali,4.0,13122,0,no
103,Ahri,3.0,8860,0,no
266,Aatrox,2.0,5060,0,no
