temp: 16.47C 	 humi: 70.807% 	 co2: 545 	 pm25: -1.0 	 pm100: -1.0 	 press: 1006.43Pa 	 gasRes: None Ohm 	 outside temp: 8.88 C
temp: 16.53C 	 humi: 70.864% 	 co2: 534 	 pm25: -1.0 	 pm100: -1.0 	 press: 1006.49Pa 	 gasRes: None Ohm 	 outside temp: 8.89 C
temp: 16.58C 	 humi: 70.727% 	 co2: 522 	 pm25: -1.0 	 pm100: -1.0 	 press: 1006.53Pa 	 gasRes: None Ohm 	 outside temp: 8.81 C
temp: 16.61C 	 humi: 70.778% 	 co2: 506 	 pm25: -1.0 	 pm100: -1.0 	 press: 1006.63Pa 	 gasRes: None Ohm 	 outside temp: 8.81 C
temp: 16.6C 	 humi: 70.415% 	 co2: 501 	 pm25: -1.0 	 pm100: -1.0 	 press: 1006.7Pa 	 gasRes: None Ohm 	 outside temp: 8.78 C
temp: 16.61C 	 humi: 70.273% 	 co2: 501 	 pm25: -1.0 	 pm100: -1.0 	 press: 1006.82Pa 	 gasRes: None Ohm 	 outside temp: 8.81 C
temp: 16.63C 	 humi: 69.97% 	 co2: 491 	 pm25: -1.0 	 pm100: -1.0 	 press: 1006.92Pa 	 gasRes: None Ohm 	 outside temp: 8.81 C
temp: 16.63C 	 humi: 69.865% 	 co2: 477 	 pm25: -1.0 	 pm100: -1.0 	 press: 1006.98Pa 	 gasRes: None Ohm 	 outside temp: 8.81 C
temp: 16.66C 	 humi: 70.026% 	 co2: 467 	 pm25: -1.0 	 pm100: -1.0 	 press: 1007.04Pa 	 gasRes: None Ohm 	 outside temp: 8.74 C
temp: 16.7C 	 humi: 70.074% 	 co2: 454 	 pm25: -1.0 	 pm100: -1.0 	 press: 1007.11Pa 	 gasRes: None Ohm 	 outside temp: 8.73 C
temp: 16.74C 	 humi: 70.1% 	 co2: 445 	 pm25: -1.0 	 pm100: -1.0 	 press: 1007.19Pa 	 gasRes: None Ohm 	 outside temp: 8.64 C
temp: 16.76C 	 humi: 70.068% 	 co2: 436 	 pm25: -1.0 	 pm100: -1.0 	 press: 1007.29Pa 	 gasRes: None Ohm 	 outside temp: 8.61 C
temp: 16.79C 	 humi: 70.012% 	 co2: 431 	 pm25: -1.0 	 pm100: -1.0 	 press: 1007.33Pa 	 gasRes: None Ohm 	 outside temp: 8.59 C
temp: 16.81C 	 humi: 69.93% 	 co2: 434 	 pm25: -1.0 	 pm100: -1.0 	 press: 1007.41Pa 	 gasRes: None Ohm 	 outside temp: 8.53 C
temp: 16.84C 	 humi: 69.979% 	 co2: 435 	 pm25: -1.0 	 pm100: -1.0 	 press: 1007.47Pa 	 gasRes: None Ohm 	 outside temp: 8.46 C
temp: 16.86C 	 humi: 70.059% 	 co2: 429 	 pm25: -1.0 	 pm100: -1.0 	 press: 1007.55Pa 	 gasRes: None Ohm 	 outside temp: 8.46 C
