summoner_name,played_with,won_with,played_against,lost_against,last_played,date
ruman3,1.0,0,0,0,Elise,19-5-2023 22:30
pawded,1.0,0,0,0,Jax,20-3-2022 15:17
no0Loss,1.0,0,0,0,Twitch,19-5-2023 22:30
nackhss,1.0,0,0,0,MonkeyKing,19-5-2023 22:30
mr triple m3,1.0,0,0,0,Yuumi,0
linkCCLV,1.0,0,0,0,Ashe,20-3-2022 15:16
kornsylv,1.0,0,0,0,Sivir,18-5-2023 21:40
illsugimoto,1.0,0,0,0,Velkoz,20-3-2022 15:16
ill mind yummmi,1.0,0,1,0,Pantheon,20-3-2022 15:16
hjkl880,1.0,0,0,0,Velkoz,18-5-2023 21:41
halsheron,1.0,0,0,0,Kassadin,0
foam finger,1.0,0,0,0,KogMaw,19-5-2023 22:30
flaww,1.0,0,0,0,Zilean,18-5-2023 21:41
edlegazz88HH,1.0,0,0,0,Quinn,20-3-2022 15:16
du ma,1.0,0,0,0,Kaisa,18-5-2023 21:41
dinazel,1.0,0,0,0,Nidalee,0
crom,1.0,0,0,0,Urgot,0
cringe akali otp,1.0,0,0,0,Azir,19-5-2023 22:30
chutaperro,1.0,0,0,0,Caitlyn,18-5-2023 21:41
cameron sands,1.0,0,0,0,MasterYi,19-5-2023 22:30
asdfghjklöä,1.0,0,0,0,Nasus,20-3-2022 15:17
arograming,1.0,0,0,0,Thresh,18-5-2023 21:40
agricultor,1.0,0,0,0,Elise,19-5-2023 22:30
Zigoillator,1.0,0,0,0,MasterYi,19-5-2023 22:30
ZigLagirafe,1.0,0,0,0,Chogath,18-5-2023 21:40
Zekaikai,1.0,0,0,0,Nautilus,0
Yasuda,1.0,0,0,0,Gangplank,19-5-2023 22:30
XZZOS,1.0,0,0,0,Zoe,0
WOYAODAZHIYE,1.0,0,0,0,Yone,0
VN Clarent,1.0,0,0,0,Leona,20-3-2022 15:16
Uncle Nico,1.0,0,0,0,Lux,20-3-2022 15:16
Tweety4673,1.0,0,0,0,Akali,19-5-2023 22:30
Trαiαnus,1.0,0,0,0,Akshan,18-5-2023 21:41
The Swagger,1.0,0,0,0,Malzahar,0
T2Watch,1.0,0,0,0,Malphite,0
Stokkefar8,1.0,0,0,0,Xerath,18-5-2023 21:41
Smyters,1.0,0,0,0,Nami,20-3-2022 15:16
SiOH4,1.0,0,0,0,Thresh,20-3-2022 15:16
Sh4imaa,1.0,0,0,0,Thresh,20-3-2022 15:15
Seth van Graaf,1.0,0,0,0,Twitch,0
Samoel DK,1.0,0,0,0,Twitch,18-5-2023 21:40
Reshishadowdream,1.0,0,0,0,Kaisa,18-5-2023 21:40
Reflected,1.0,0,0,0,Jinx,18-5-2023 21:40
Rebjorn,1.0,0,0,0,Xerath,19-5-2023 22:30
Project Nyx,1.0,0,0,0,Sona,18-5-2023 21:40
Paola la Coquine,1.0,0,0,0,Senna,20-3-2022 15:17
PakyD,1.0,0,0,0,Morgana,0
