summoner_name,played_with,won_with,played_against,lost_against,last_played,date
Tsundere Waifu,0.0,0,1,0,Seraphine,4-8-2022 22:7
Toranpetto,0.0,0,1,1,Sivir,0
TiltSchmilt,0.0,0,1,0,Yone,0
TiltSchild,0.0,0,1,0,Caitlyn,0
ThotPatroI,0.0,0,1,1,Syndra,0
Theo Francken,0.0,0,1,0,Rell,0
TheRealXerXes,0.0,0,1,0,Akali,0
TheNobel,0.0,0,1,0,Amumu,4-8-2022 22:7
The Joy of Paint,0.0,0,1,0,Brand,0
Telos Aero,0.0,0,1,1,Urgot,0
Tax is the way,0.0,0,1,0,Kayn,0
Tatou Flingué,0.0,0,1,1,Shyvana,0
Takeda Minamoto,0.0,0,1,1,Senna,0
Taini Tahatan,0.0,0,1,0,Chogath,4-8-2022 22:7
TRS HerO,0.0,0,1,0,Leblanc,0
T0bi,0.0,0,1,0,Blitzcrank,0
Süléymân Çâkır,0.0,0,1,1,Ornn,0
Sâk Amaird,0.0,0,1,0,Darius,0
Syndicate,0.0,0,1,1,Lulu,0
SyX Skyla,0.0,0,1,0,Senna,0
Svvaga,0.0,0,1,0,Tristana,4-8-2022 22:7
Suck My CroK,0.0,0,1,0,Renekton,0
Stoneman98,0.0,0,1,0,Poppy,0
Stiche,0.0,0,1,1,Zed,0
SpinningHeadKick,0.0,0,1,0,TwistedFate,0
SpeedingEchoes,0.0,0,1,1,Jinx,0
Speedb1rd,0.0,0,1,0,LeeSin,0
Sonarus,0.0,0,1,1,Seraphine,0
Socatee,0.0,0,1,0,Katarina,0
SoTooZ,0.0,0,1,0,Bard,0
Snowflakes,0.0,0,1,1,Rengar,0
Sleifa,0.0,0,1,1,Xayah,0
SimWa,0.0,0,1,0,Jinx,0
Shirotsumekusa,0.0,0,1,0,Caitlyn,18-5-2023 21:41
Shining Sun,0.0,0,1,0,Riven,0
Shaduvar,0.0,0,1,0,Kaisa,0
Serge Catherine,0.0,0,1,1,Darius,0
Sekthor Z,0.0,0,1,1,Sion,0
Sdodiflex,0.0,0,1,1,Pantheon,0
Scuttle Junkie,0.0,0,1,0,Katarina,0
Scrotum Sniffer,0.0,0,1,0,Ezreal,0
Sciccors Lady,0.0,0,1,0,Ezreal,0
Savon vaisselle,0.0,0,1,0,Lux,0
Sarosis,0.0,0,1,1,Fiddlesticks,0
SapoSenpai,0.0,0,1,0,XinZhao,0
Saltoxis,0.0,0,1,0,Shaco,0
SVG CoulDz,0.0,0,1,1,Sett,0
SPEED DEMΘN,0.0,0,1,1,Jhin,0
SLT Lachs,0.0,0,1,0,Varus,0
SLT Keet,0.0,0,1,0,Lux,0
SK8MAN48,0.0,0,1,1,Teemo,0
SHUKB24,0.0,0,1,1,Nautilus,0
S2W ligma ballz,0.0,0,1,0,Renekton,0
S2W Yuri Tarded,0.0,0,1,0,Leblanc,0
S2W Schiz0id Man,0.0,0,1,0,Jhin,0
S2W Rae Piste,0.0,0,1,0,Evelynn,0
S13goesSUUTUTUwU,0.0,0,1,0,LeeSin,0
S i i N o K,0.0,0,1,1,Zilean,0
RvsipT,0.0,0,1,1,Jayce,0
Rubidu,0.0,0,1,0,TwistedFate,0
Riven0nly,0.0,0,1,0,Corki,0
Riko9S,0.0,0,1,1,Gwen,0
Rihagan,0.0,0,1,1,Pantheon,0
Ridex,0.0,0,1,1,Pyke,4-8-2022 22:8
Rico do Mato,0.0,0,1,0,Kayle,0
Ricardo Milos  l,0.0,0,1,1,Malzahar,0
Reınhord,0.0,0,1,1,Urgot,0
Rayden14,0.0,0,1,0,Irelia,0
Ralfchen,0.0,0,1,0,Nocturne,0
Raise Morale,0.0,0,1,0,Teemo,0
Racep,0.0,0,1,1,Khazix,0
Qlímąx,0.0,0,1,0,Kaisa,0
Pínot Noir,0.0,0,1,1,Yorick,0
Pyzix,0.0,0,1,0,Jinx,0
Pyro Demon,0.0,0,1,1,Lissandra,4-8-2022 22:7
PvPGamer,0.0,0,1,1,Vayne,0
PsychoOP,0.0,0,1,1,Khazix,0
Prøtø,0.0,0,1,1,Zyra,0
Prostaat Prikker,0.0,0,1,0,Ahri,0
Prollproll,0.0,0,1,0,Maokai,0
Prodigy21,0.0,0,1,1,Zed,0
PrettyPixel,0.0,0,1,0,Sylas,0
Pray SineR ,0.0,0,1,0,Sivir,4-8-2022 22:7
Popzy,0.0,0,1,1,Xerath,0
PommesKopfMcGelb,0.0,0,1,1,Yasuo,0
Polpilax,0.0,0,1,1,Lux,0
PoessySupplier,0.0,0,1,0,Ahri,0
Pluzeer,0.0,0,1,1,Nami,0
Pls Stop Blaming,0.0,0,1,0,Seraphine,0
Pletypus,0.0,0,1,1,Sivir,4-8-2022 22:8
PenKnifeZ,0.0,0,1,1,Mordekaiser,4-8-2022 22:7
Patapimpam ,0.0,0,1,0,Pyke,0
Parnanga,0.0,0,1,1,Shaco,0
ParameterSoup,0.0,0,1,0,Caitlyn,0
PandaOfDooom,0.0,0,1,0,Sivir,0
PancakeR9,0.0,0,1,0,Senna,0
PaanuJ,0.0,0,1,1,Qiyana,0
Owbove,0.0,0,1,0,Aphelios,0
Ouisti,0.0,0,1,0,Senna,0
Ouapatapatou,0.0,0,1,1,Caitlyn,4-8-2022 22:7
Osriik,0.0,0,1,1,Zilean,0
Op Asher,0.0,0,1,1,DrMundo,0
Ofensywnie,0.0,0,1,1,Taliyah,4-8-2022 22:8
Obesokiller,0.0,0,1,0,Elise,0
OTP Top Feeder,0.0,0,1,1,Camille,0
ORIGINAL TASTE,0.0,0,1,1,Sivir,4-8-2022 22:8
Nutellabeere,0.0,0,1,0,Riven,0
Nugua,0.0,0,1,1,Senna,0
NeverFlameWayze,0.0,0,1,1,Qiyana,4-8-2022 22:7
Neon 6lack,0.0,0,1,0,DrMundo,0
Nazgul812,0.0,0,1,0,Swain,0
Nappy,0.0,0,1,1,Janna,0
NalowLPB,0.0,0,1,0,Kayn,0
MyMainIsTrol,0.0,0,1,0,Khazix,0
Munchkin120,0.0,0,1,1,Orianna,0
Mosinnen,0.0,0,1,0,Sett,0
Moak,0.0,0,1,0,Fiddlesticks,0
Mkaa,0.0,0,1,0,Blitzcrank,0
Miracle Jojo,0.0,0,1,1,Aphelios,0
Mimööö,0.0,0,1,1,Lulu,0
Migabv2000,0.0,0,1,0,Volibear,0
Midaregami,0.0,0,1,0,Cassiopeia,18-5-2023 21:41
Meywen,0.0,0,1,1,MissFortune,0
Metromann,0.0,0,1,0,Qiyana,0
Mesterdetektiven,0.0,0,1,1,MonkeyKing,0
Megart22,0.0,0,1,1,Kayle,0
Mauw,0.0,0,1,0,Sivir,0
Marmottell,0.0,0,1,1,Ziggs,0
MakkaraHOG,0.0,0,1,1,Vayne,0
MKPandaMan,0.0,0,1,1,Yone,0
MISTER MINAHRI,0.0,0,1,1,Blitzcrank,0
ME Godspeed,0.0,0,1,1,Rengar,0
MAMAMAMAMAA,0.0,0,1,0,Draven,0
Lìam,0.0,0,1,0,Viktor,0
LolMasterLander,0.0,0,1,1,Aatrox,0
LixFrEzE,0.0,0,1,1,Nasus,0
Lil Brick,0.0,0,1,1,Yone,0
LcSambucca,0.0,0,1,0,Viktor,4-8-2022 22:7
La Zez,0.0,0,1,1,Orianna,0
LPDA Masked Guy,0.0,0,1,0,Warwick,0
LJP Snacc,0.0,0,1,1,Skarner,0
LJP Lion,0.0,0,1,1,Ahri,0
LFrank,0.0,0,1,1,Diana,0
Kïlgharrah,0.0,0,1,0,Kassadin,20-3-2022 15:16
Kytelol,0.0,0,1,0,Samira,0
Kyblik,0.0,0,1,0,Zyra,18-5-2023 21:41
Kudoria,0.0,0,1,0,Zed,0
KraftDurchSuppe,0.0,0,1,0,Brand,0
Konny Feting,0.0,0,1,1,Morgana,0
Klemcee,0.0,0,1,1,Warwick,0
Kinopol,0.0,0,1,0,Ekko,0
Kexet,0.0,0,1,1,Vayne,0
Kayht,0.0,0,1,0,Ezreal,0
KatieCatXD,0.0,0,1,0,Shaco,0
Kamelsnegl,0.0,0,1,1,Urgot,0
Kacob,0.0,0,1,1,Thresh,0
Kabuto SxF,0.0,0,1,0,Cassiopeia,0
KHAN selim,0.0,0,1,1,Sylas,0
KG Enzed,0.0,0,1,1,Xayah,4-8-2022 22:7
KFCannady,0.0,0,1,0,Shyvana,20-3-2022 15:16
KC REBELL SHISHA,0.0,0,1,1,DrMundo,0
Just a Ðevil,0.0,0,1,0,Rengar,0
Jumt,0.0,0,1,0,Varus,0
JulianLegend,0.0,0,1,1,Poppy,0
Jsuis un Fiddle ,0.0,0,1,1,Pyke,0
Joliande,0.0,0,1,0,Sett,0
Jolanix,0.0,0,1,0,Rell,0
JohnnyMadrita,0.0,0,1,0,Kennen,0
Jimmy1812,0.0,0,1,0,Singed,0
Jereyff,0.0,0,1,0,Viego,0
JHIN WTF,0.0,0,1,0,Kled,4-8-2022 22:7
J0hn Denver,0.0,0,1,0,Nocturne,0
Isacar,0.0,0,1,0,Velkoz,0
Interactions,0.0,0,1,1,Garen,4-8-2022 22:7
Inquism,0.0,0,1,0,Senna,0
Imma Getme AKill,0.0,0,1,1,Caitlyn,0
ImVelpix,0.0,0,1,0,Rengar,0
ILoveLegoo,0.0,0,1,1,Nidalee,0
I am bad af,0.0,0,1,0,Zyra,0
I THROW HARD,0.0,0,1,1,Tryndamere,0
I SUPPORT RAΡE,0.0,0,1,1,Ryze,0
I Play Badminton,0.0,0,1,1,Sivir,0
I Keep It Gallo,0.0,0,1,0,Jhin,0
