date,timeStamp,temperature,outside temperature,humidity,pressure,gasResistance,bsec  breath_voc_equivalent ,bsec  raw_humidity,bsec bsec_status,bsec co2_equivalent,bsec gas,bsec humidity,bsec iaq,bsec iaq_accuracy,bsec pressure,bsec raw_temperature,bsec static_iaq,bsec temperature,co2
2023-04-27,04:08:12,18.77,2.95,41.05,1021.13,1544343.0005578091,4.0770870000000015,41.049999,0.0,1638.2441410000001,1502504.0,41.198914,187.445312,3.0,102113.0,19.77,163.82441699999995,19.705282,
2023-04-27,04:13:12,18.79,2.95,40.921,1021.05,1541200.8997957946,4.021217,40.921001,0.0,1629.116211,1499167.0,41.08366,186.953918,3.0,102105.0,19.790001,162.911621,19.725283,
2023-04-27,04:18:12,18.73,2.95,41.054,1021.04,1545130.528617264,4.10533,41.054001,0.0,1642.811035,1503341.0,41.22047,189.132126,3.0,102104.0,19.73,164.281097,19.665281,
2023-04-27,04:23:13,18.7,3.01,41.172,1021.07,1544343.0005578091,4.042403,41.172001,0.0,1632.592529,1502504.0,41.339767,188.496277,3.0,102107.0,19.700001,163.259247,19.635283,
2023-04-27,04:28:13,18.68,2.96,41.222,1021.09,1543556.274870307,4.025223,41.222,0.0,1629.7749019999999,1501669.0,41.37822,188.73376499999998,3.0,102109.0,19.68,162.97749299999995,19.615297,
2023-04-27,04:33:13,18.62,2.96,41.303999999999995,1021.05,1544343.0005578091,3.97678,41.304001,0.0,1621.765137,1502504.0,41.476055,188.354126,3.0,102105.0,19.620001,162.176514,19.555283,
2023-04-27,04:38:14,18.61,2.91,41.238,1021.04,1538852.7020959218,4.042539,41.237999,0.0,1632.614624,1496674.0,41.39777,190.224075,3.0,102104.0,19.610001,163.261459,19.545282,
2023-04-27,04:43:14,18.58,2.9,41.44600000000001,1021.05,1543556.274870307,3.966709,41.449001,0.0,1620.087891,1501669.0,41.616257,189.30629,3.0,102105.0,19.58,162.00878899999995,19.515282,
2023-04-27,04:48:14,18.59,2.9,41.316,1021.07,1422535.723375339,3.999171,41.31600200000001,0.0,1625.479492,1500000.0,41.491271999999995,190.529144,3.0,102107.0,19.59,162.547943,19.525292999999998,
2023-04-27,04:53:15,18.58,2.92,41.393,1021.07,1427898.7215442057,3.867305,41.395,0.0,1603.298828,1506696.0,41.547482,188.442001,3.0,102107.0,19.58,160.32988,19.515295,
2023-04-27,04:58:15,18.52,2.88,41.488,1021.13,1418539.8378022397,3.962828,41.487999,0.0,1619.440186,1495017.0,41.66507,190.968918,3.0,102113.0,19.52,161.944016,19.45528,
2023-04-27,05:03:16,18.51,2.88,41.559,1021.15,1423872.6926085881,3.907737000000001,41.558998,0.0,1610.179321,1501669.0,41.757767,190.426605,3.0,102115.0,19.51,161.017929,19.445297,
2023-04-27,05:08:16,18.45,3.02,41.649,1021.13,1421201.262527216,3.878745,41.648998,0.0,1605.252808,1498335.0,41.832229999999996,190.403992,3.0,102113.0,19.450001,160.525284,19.385282999999998,
2023-04-27,05:13:16,18.44,3.02,41.565,1021.17,1421201.262527216,3.952462,41.564999,0.0,1617.70752,1498335.0,41.770744,192.509003,3.0,102117.0,19.440001,161.77075200000004,19.375294,
2023-04-27,05:18:17,18.45,3.02,41.673,1021.21,1418539.8378022397,3.96993,41.673,0.0,1620.6248779999999,1495017.0,41.843379999999996,193.453552,3.0,102121.0,19.450001,162.062485,19.385281,
2023-04-27,05:23:17,18.43,3.02,41.565,1021.25,1423872.6926085881,3.912286,41.564999,0.0,1610.94873,1501669.0,41.72953,192.85054,3.0,102125.0,19.43,161.094879,19.365295,
2023-04-27,05:28:18,18.39,3.24,41.728,1021.19,1415888.3623288553,3.916806,41.728001,0.0,1611.7126460000006,1491713.0,41.905025,193.551819,3.0,102119.0,19.389999,161.17126499999995,19.325279000000002,
2023-04-27,05:33:18,18.37,3.01,41.672,1021.17,1406685.7482925104,4.017853,41.672001,0.0,1628.562622,1480263.0,41.83968,196.253906,3.0,102117.0,19.370001,162.85626200000004,19.305283,
2023-04-27,05:38:18,18.31,3.06,41.826,1021.21,1419869.3030115876,3.8979739999999996,41.826,0.0,1608.524292,1496674.0,41.991985,194.381149,3.0,102121.0,19.309998999999998,160.852432,19.245282999999997,
2023-04-27,05:43:19,18.31,3.06,41.788999999999994,1021.27,1414566.3381433522,3.993719,41.789001,0.0,1624.577026,1490066.0,41.958172,197.007309,3.0,102127.0,19.309999,162.457703,19.245281,
2023-04-27,05:48:19,18.34,3.0,41.71,1021.21,1413246.7804209518,3.939882,41.709998999999996,0.0,1615.598633,1488423.0,41.851528,196.51054399999998,3.0,102121.0,19.34,161.55986000000001,19.275288,
2023-04-27,05:53:19,18.23,2.97,42.08600000000001,1021.33,1400185.3541706628,4.147593,42.085999,0.0,1649.586304,1472192.0,42.28286,201.41478,3.0,102133.0,19.23,164.95863300000005,19.165295,
2023-04-27,05:58:20,18.22,2.97,41.93899999999999,1021.33,1396313.8752023126,4.307286,41.938999,0.0,1674.578857,1467391.0,42.123726,205.19928000000002,3.0,102133.0,19.219998999999998,167.457886,19.155294,
2023-04-27,06:03:20,18.2,2.93,42.007,1021.35,1396313.8752023126,4.3207510000000005,42.007,0.0,1676.643677,1467391.0,42.186581,206.08371,3.0,102135.0,19.200001,167.664368,19.135283,
2023-04-27,06:08:20,18.16,2.87,42.078,1021.39,1393744.7612843665,4.403974,42.077999,0.0,1689.2645260000006,1464208.0,42.252644000000004,208.316513,3.0,102139.0,19.16,168.926453,19.095295,
2023-04-27,06:13:21,18.11,2.87,42.248999999999995,1021.43,1392463.7463024012,4.48959,42.249001,0.0,1702.001709,1462622.0,42.441742,210.578491,3.0,102143.0,19.110001,170.200165,19.045288,
2023-04-27,06:18:21,18.13,2.87,42.151,1021.47,1376022.3087877021,4.893287,42.151001,0.0,1758.961426,1442308.0,42.302933,218.530884,3.0,102147.0,19.129998999999998,175.896149,19.065281,
2023-04-27,06:23:22,18.08,2.76,42.269,1021.49,1368564.1957973407,5.2042470000000005,42.269001,0.0,1799.719116,1433121.0,42.457535,224.450485,3.0,102149.0,19.08,179.971909,19.015297,
2023-04-27,06:28:22,18.08,2.76,42.173,1021.51,1359964.603218328,5.637098,42.173,0.0,1852.5717769999999,1422550.0,42.341709,231.973541,3.0,102151.0,19.08,185.257172,19.015295000000002,
2023-04-27,06:33:22,18.11,2.76,42.111999999999995,1021.54,1340708.4738031565,6.107381,42.111999999999995,0.0,1905.579346,1398964.0,42.262451,239.574249,3.0,102154.0,19.110001,190.557938,19.045294,
2023-04-27,06:38:23,18.03,2.73,42.294,1021.54,1351472.4096574988,6.261743,42.293999,0.0,1922.0915530000002,1412134.0,42.490929,242.45489500000002,3.0,102154.0,19.030001000000002,192.209152,18.965298,
2023-04-27,06:43:23,18.05,2.73,42.265,1021.6,1315104.6750140635,6.973147,42.264999,0.0,1993.277588,1367781.0,42.411732,250.0,2.0,102160.0,19.049999,199.327759,18.985281,
2023-04-27,06:48:23,18.06,2.76,42.23,1021.62,1309421.4243239085,7.219972,42.23,0.0,2016.288574,1360887.0,42.376896,248.61731,2.0,102162.0,19.059998999999998,201.62886,18.995281,
2023-04-27,06:53:24,18.01,2.76,42.32,1021.6,1311688.8199237727,7.560774,42.32,0.0,2046.800049,1363636.0,42.503262,246.556503,2.0,102160.0,19.01,204.680008,18.94528,
2023-04-27,06:58:24,18.01,2.76,42.332,1021.66,1287171.2805979112,8.541388000000001,42.332001,0.0,2127.473877,1333992.0,42.514088,249.46327200000002,2.0,102166.0,19.01,212.74739100000002,18.945297,
2023-04-27,07:03:24,17.93,2.76,42.506,1021.66,1272040.8092376122,9.321266,42.506001,0.0,2185.275146,1315789.0,42.692635,249.052811,2.0,102166.0,18.93,218.527512,18.865295,
2023-04-27,07:08:25,17.93,2.76,42.38,1021.72,1261449.2993162107,9.932635000000001,42.380001,0.0,2227.300293,1303089.0,42.535419,249.49282799999997,2.0,102172.0,18.93,222.730042,18.865295,
2023-04-27,07:13:25,17.92,2.77,42.38,1021.74,1250000.5062948677,10.441593,42.380001,0.0,2260.358154,1289398.0,42.542381,248.880524,2.0,102174.0,18.92,226.035812,18.855297,
2023-04-27,07:18:26,17.97,3.17,42.194,1021.86,1253102.2433614864,10.745621,42.194,0.0,2279.344727,1293103.0,42.352160999999995,248.924377,2.0,102186.0,18.969998999999998,227.934479,18.905294,
2023-04-27,07:23:26,17.94,3.17,42.244,1021.86,1257261.917303718,10.64405,42.243999,0.0,2273.062012000001,1298077.0,42.384678,244.969513,2.0,102186.0,18.940001,227.306198,18.875284,
2023-04-27,07:28:26,17.9,3.33,42.38800000000001,1021.82,1235726.443877463,11.235248,42.38800000000001,0.0,2308.821045,1272385.0,42.584328,247.33863799999997,2.0,102182.0,18.9,230.88211099999998,18.835297,
2023-04-27,07:33:27,17.85,3.51,42.452,1021.76,1237745.6039668215,11.714498,42.452,0.0,2336.454102,1274788.0,42.652874,248.906967,2.0,102176.0,18.85,233.645416,18.785294,
2023-04-27,07:38:27,17.86,3.68,42.411,1021.74,1227715.2544159542,11.905019,42.410999,0.0,2347.126465,1262862.0,42.57259000000001,249.069656,2.0,102174.0,18.860001,234.712646,18.795279999999998,
2023-04-27,07:43:27,17.75,3.68,42.547,1021.76,1232710.0257133571,12.297668,42.547001,0.0,2368.593018,1268797.0,42.729683,248.88681,2.0,102176.0,18.75,236.859299,18.68528,
2023-04-27,07:48:28,17.88,3.85,42.371,1021.84,1229708.2978978169,12.030697,42.370998,0.0,2354.073486,1265230.0,42.531921000000004,248.107056,3.0,102184.0,18.879998999999998,235.407349,18.815292000000003,
2023-04-27,07:53:28,17.91,4.03,42.278999999999996,1021.82,1228710.96794783,11.709795,42.278999,0.0,2336.188477,1264045.0,42.457924,246.363632,2.0,102182.0,18.91,233.618851,18.845287,
2023-04-27,07:58:29,17.87,4.18,42.48,1021.9,1234719.3322437124,11.86246,42.48,0.0,2344.7573239999997,1271186.0,42.614929,247.37097200000002,2.0,102190.0,18.870001000000002,234.475739,18.80529,
