summoner_name,played_with,won_with,played_against,lost_against,last_played,date
KingPengu96,1.0,0,0,0,Yasuo,20-3-2022 15:16
KermitDPhrog,1.0,0,0,0,Azir,19-5-2023 22:33
Kearney,1.0,0,0,0,Vex,19-5-2023 22:32
Kaktus Joe,1.0,0,0,0,Ezreal,0
KT Manh,1.0,0,0,0,Jax,19-5-2023 22:32
JesusRstillOnCD,1.0,0,0,0,Varus,0
IÑÒSUKE ,1.0,0,0,0,Lucian,19-5-2023 22:32
Imperabyte,1.0,0,0,0,Gwen,4-8-2022 22:8
I Break,1.0,0,0,0,Fizz,20-3-2022 15:17
Hey im twisted,1.0,0,0,0,Jinx,19-5-2023 22:32
Hanzjunior,1.0,0,0,0,Volibear,20-3-2022 15:16
HClover7,1.0,0,0,0,MissFortune,0
Green Curtis ,1.0,0,0,0,Nunu,20-3-2022 15:16
Gokuisdaboss,1.0,0,0,0,Fizz,0
Garder0bert,1.0,0,0,0,Xerath,0
G0DZ0MB0,1.0,0,0,0,TwistedFate,19-5-2023 22:33
Funzel420,1.0,0,0,0,Lillia,19-5-2023 22:33
FreshOner,1.0,0,0,0,Vladimir,19-5-2023 22:32
Freemass,1.0,0,0,0,Kassadin,0
FiSHA,1.0,0,0,0,Xerath,20-3-2022 15:16
Farashima,1.0,0,0,0,Jinx,20-3-2022 15:16
Evil Eye,1.0,0,0,0,Graves,0
DrEggbot,1.0,0,0,0,Leblanc,0
DoMeRightDaddy,1.0,0,0,0,Sona,0
DioDorante,1.0,0,0,0,Akshan,19-5-2023 22:32
Destyka,1.0,0,0,0,Fiora,19-5-2023 22:32
Dark that Matter,1.0,0,0,0,Heimerdinger,4-8-2022 22:8
Damn Son xd,1.0,0,0,0,Garen,4-8-2022 22:8
DONOTFKWITHME,1.0,0,0,0,Chogath,19-5-2023 22:32
CuteHamsterCat,1.0,0,0,0,Urgot,0
Concombre Furtif,1.0,0,0,0,Fiddlesticks,4-8-2022 22:8
CSgoesHigh1,1.0,0,0,0,Neeko,19-5-2023 22:33
CIowningAround,1.0,0,0,0,Udyr,19-5-2023 22:32
BalourdManGodx,1.0,0,0,0,MissFortune,4-8-2022 22:8
AnaI2022,1.0,0,0,0,Braum,0
An Elf Priestess,1.0,0,0,0,Amumu,0
Alumonur,1.0,0,0,0,Samira,20-3-2022 15:16
AN7ROX,1.0,0,0,0,Malphite,20-3-2022 15:15
AIexaPearl,1.0,0,0,0,Zed,19-5-2023 22:32
00NoSleep00,1.0,0,0,0,Shyvana,20-3-2022 15:16
яise,0.0,0,1,1,Kaisa,0
λsmσdαψ,0.0,0,1,0,Thresh,0
ΣVłΔŃ,0.0,0,1,0,Malphite,20-3-2022 15:16
ΗelloThresh,0.0,0,1,0,Pantheon,19-5-2023 22:32
ΒIM,0.0,0,1,1,Azir,19-5-2023 22:32
Αzazyx,0.0,0,1,1,Ekko,19-5-2023 22:32
Š Ł Ø W,0.0,0,1,0,Kassadin,0
Łεε Sin,0.0,0,1,0,Qiyana,20-3-2022 15:16
Łíghtëń,0.0,0,1,1,Mordekaiser,20-3-2022 15:16
ßigEasy,0.0,0,1,0,Heimerdinger,19-5-2023 22:32
ßaeee,0.0,0,1,0,Veigar,0
ÔnlyADCarry,0.0,0,1,1,Jax,4-8-2022 22:8
Æði,0.0,0,1,0,Riven,20-3-2022 15:16
zhangfanlee,0.0,0,1,1,Ryze,20-3-2022 15:15
zKingImba,0.0,0,1,1,Pyke,20-3-2022 15:16
xTheFireDollV,0.0,0,1,0,Caitlyn,20-3-2022 15:16
xMTTx,0.0,0,1,0,Senna,0
x9 Ignis,0.0,0,1,0,Nocturne,4-8-2022 22:8
x A T E E Z x,0.0,0,1,1,Jinx,20-3-2022 15:16
weaercha,0.0,0,1,1,RekSai,20-3-2022 15:16
verius3,0.0,0,1,1,Jinx,20-3-2022 15:16
vandamas,0.0,0,1,0,Nami,20-3-2022 15:17
tzeriel,0.0,0,1,0,Aatrox,19-5-2023 22:32
tumbethenoob,0.0,0,1,0,Tristana,20-3-2022 15:16
thechosenjuan132,0.0,0,1,1,Ryze,19-5-2023 22:33
teky dses morts,0.0,0,1,0,Velkoz,20-3-2022 15:16
sycrix,0.0,0,1,1,Soraka,19-5-2023 22:33
suppamàn,0.0,0,1,0,Nidalee,19-5-2023 22:32
sponge,0.0,0,1,1,Lissandra,0
smartiescrew,0.0,0,1,1,Irelia,0
shadowzgz,0.0,0,1,1,Maokai,20-3-2022 15:16
rumpsteαk,0.0,0,1,0,Rammus,0
paNPow,0.0,0,1,0,Kaisa,20-3-2022 15:16
miesmupfel,0.0,0,1,0,Xerath,20-3-2022 15:16
machiba,0.0,0,1,1,Brand,20-3-2022 15:16
lnReaILife,0.0,0,1,0,JarvanIV,19-5-2023 22:32
kutipanda,0.0,0,1,1,Veigar,20-3-2022 15:15
kNU in the box,0.0,0,1,1,Lux,19-5-2023 22:33
ilony,0.0,0,1,0,Samira,0
iZuKu DeKu 3,0.0,0,1,1,Fizz,20-3-2022 15:15
hungry tape worm,0.0,0,1,1,Leblanc,19-5-2023 22:32
heldf,0.0,0,1,0,Swain,0
gloomilygirl,0.0,0,1,0,Morgana,20-3-2022 15:16
gilgary,0.0,0,1,0,Mordekaiser,0
funeral,0.0,0,1,1,Annie,19-5-2023 22:33
foam finger,0.0,0,1,0,KogMaw,19-5-2023 22:32
flame0000,0.0,0,1,1,XinZhao,0
drey493,0.0,0,1,0,Kindred,19-5-2023 22:32
dreaddi,0.0,0,1,0,Velkoz,0
doulga,0.0,0,1,1,Varus,19-5-2023 22:32
donbaruso,0.0,0,1,0,Rell,0
cringe akali otp,0.0,0,1,0,Azir,19-5-2023 22:32
craycrayze,0.0,0,1,1,Zoe,0
cocopopzzz,0.0,0,1,0,Soraka,20-3-2022 15:16
chef seppel,0.0,0,1,0,Sejuani,0
cameron sands,0.0,0,1,0,MasterYi,19-5-2023 22:32
byTwizi,0.0,0,1,1,Yuumi,20-3-2022 15:16
brrritscold2,0.0,0,1,1,Chogath,20-3-2022 15:16
bilsanope,0.0,0,1,1,Darius,0
balmyru,0.0,0,1,0,Soraka,20-3-2022 15:16
alvarosparo,0.0,0,1,1,Viego,4-8-2022 22:8
agricultor,0.0,0,1,0,Elise,19-5-2023 22:32
a lvl5 Abra,0.0,0,1,1,Ahri,19-5-2023 22:33
Zàrzour,0.0,0,1,0,Lillia,0
ZyklonBlader,0.0,0,1,0,Velkoz,0
Zoegás,0.0,0,1,1,Fiddlesticks,19-5-2023 22:32
Zitron777,0.0,0,1,1,Zilean,0
Zigoillator,0.0,0,1,0,MasterYi,19-5-2023 22:32
ZeyRo Sama,0.0,0,1,1,Camille,0
ZETZUT,0.0,0,1,1,Neeko,0
Young For Myself,0.0,0,1,1,Bard,19-5-2023 22:32
Yasuda,0.0,0,1,0,Gangplank,19-5-2023 22:32
Xaiuss,0.0,0,1,1,Ezreal,19-5-2023 22:33
WubbyWubby,0.0,0,1,1,Tristana,0
Woffer,0.0,0,1,0,Zilean,4-8-2022 22:8
Wisdom Raver,0.0,0,1,0,Sett,19-5-2023 22:32
WashSucks,0.0,0,1,1,Karma,20-3-2022 15:17
Warchildh,0.0,0,1,0,Illaoi,0
WarDJ,0.0,0,1,1,Braum,0
Vølik,0.0,0,1,1,DrMundo,0
VyperionVyp,0.0,0,1,1,Senna,0
VigilxUwU,0.0,0,1,1,Velkoz,19-5-2023 22:32
VergiI8,0.0,0,1,0,Brand,0
VeGeTaSsJ4,0.0,0,1,0,Darius,0
Unimuspanet,0.0,0,1,0,Ahri,4-8-2022 22:8
Unari,0.0,0,1,0,Viktor,0
Ultimar,0.0,0,1,0,Karma,0
Twitch razey35,0.0,0,1,1,Maokai,19-5-2023 22:33
Tweety4673,0.0,0,1,0,Akali,19-5-2023 22:32
Tiese Terry,0.0,0,1,1,Maokai,19-5-2023 22:32
Thylghar,0.0,0,1,0,Graves,20-3-2022 15:15
Thomas91680,0.0,0,1,0,Jhin,20-3-2022 15:16
Thewaxxx,0.0,0,1,0,Seraphine,20-3-2022 15:16
TheralonSonne,0.0,0,1,0,Qiyana,19-5-2023 22:32
TheOnly  LOL,0.0,0,1,0,Bard,20-3-2022 15:16
TheM4nster,0.0,0,1,0,Lucian,20-3-2022 15:16
Tharobba,0.0,0,1,0,Chogath,0
Tentacule au mid,0.0,0,1,1,Brand,19-5-2023 22:32
Tensai1031,0.0,0,1,0,Malzahar,19-5-2023 22:32
Tchoubs,0.0,0,1,1,Thresh,20-3-2022 15:17
Tayson III,0.0,0,1,1,Gangplank,0
TataYoolo,0.0,0,1,1,Shen,0
Taredt,0.0,0,1,0,Nautilus,0
Taktiknuke,0.0,0,1,0,Ziggs,20-3-2022 15:16
TSB Bang,0.0,0,1,0,Sivir,0
TS193,0.0,0,1,0,Shyvana,0
Support Lïfe,0.0,0,1,1,Jhin,19-5-2023 22:33
SuicideCommando,0.0,0,1,1,Taliyah,19-5-2023 22:32
SuckMeNamNam,0.0,0,1,1,Tryndamere,20-3-2022 15:16
Stric,0.0,0,1,1,LeeSin,19-5-2023 22:32
StorDingDong,0.0,0,1,1,Gangplank,0
StealPenta,0.0,0,1,1,Syndra,19-5-2023 22:32
Stay Coool,0.0,0,1,1,Nautilus,19-5-2023 22:32
